listing,price,brand,size
Bottega Veneta Woven Red Cassette Crossbody Bag,1259.0,Bottega Veneta,OS
"MICHAEL KORS SIENNA Large Tote Shoulder BAG In POWDER BLUSH Leather Canvas
          
      Boutique",163.0,Michael Kors,Large
Salvatore Ferragamo Black Suede Gancini Pocket Shoulder Bag,450.0,Salvatore Ferragamo,OS
"Badgley Mischka Diamond Quilted Crossbody BM-4181 NEW
          
      NWT",55.0,Badgley Mischka,OS
chanel rare medium velvet boy bag,3450.0,CHANEL,OS
Kate Spade Metallic Gold Tote / Crossbody Bag ✨,152.0,kate spade,OS
🆕 Henri Bendel No. 7 Quilt Zip Tote Black and Gray Houndstooth Shoulder Bag,360.0,henri bendel,OS
Madden Girl Pink Bow Mini Tote,49.0,Madden Girl,OS
Vintage Dooney &Bourke clutch/purse,50.0,Dooney & Bourke,10x8
"Michael Kors Charlotte Tote Bag Black Leather
          
      NWT",148.0,Michael Kors,OS
"Big Hair Big Dreams Cosmetic Bag
          
      NWT",15.0,,OS
"NEW PAOLO MASI Mink Fur Vachetta Leather Boston Bag Brown Italian Shoulder Bag
          
      NWT",175.0,Paolo Masi,OS
"Aloha Collection Mini Pouch, Pāʻina, desert
          
      NWT",27.0,ALOHA Collection,OS
"YSL Yves Saint Laurent Towel and Pouch
          
      NWT",35.0,Yves Saint Laurent,OS
Lanvin Champagne Zippered Leather Tote,375.0,Lanvin,OS
Authentic Bottega Veneta extra large paper shopping bag w/ green cloth handle,25.0,Bottega Veneta,OS
Nine West wallet,16.0,Nine West,OS
"New Choco Mocha Sling Bum Bag Bag, Tye Dye Purple
          
      NWT",10.0,Choco Mocha,OS
Botkier Beatrice Crossbody Leather Bag,60.0,Botkier,OS
"GUC Dooney & Bourke Crossbody Bag Tan with Leather Trim Zipper 9"" x 6 1/2""",14.0,Dooney & Bourke,OS
"Karl Lagerfeld Leather K/Letter Shoulder Bag & Dustbag, Winter White & Gunmetal
          
      NWT",80.0,Karl Lagerfeld,Small
anthropologie Melanie Whipstitched Black‎ Purse Handbag,33.0,Anthropologie,OS
Vintage Wine Bottle Tapestry Tote Bag,20.0,,OS
CHANEL Cambon Ligne Zip Wallet Organizer Black Quilted Leather Hot Pink,865.0,CHANEL,Approx: 9” L x 1”W x 5”H
"Nine‎ West Multicolor Purple Snakeskin crossbody bag, purse",20.0,Nine West,OS
ALO Yoga Explorer Convertible Pack | 3L Nylon Waist Bag,55.0,ALO Yoga,OS
Jimmy Choo Parfums Black Glitter Keychain Wallet,59.0,Jimmy Choo,OS
AUTHENTIC Louis Vuitton  Monogram Orsay Clutch MUST SEE,499.0,Louis Vuitton,9 x 7 x 2.5 approx.
